id;start_date;end_date;language
1;2020-07-15T01:35:02;2020-07-14T23:25:17;SPANISH
2;2020-07-14T06:25:13;2020-07-15T01:29:38;SPANISH
3;2020-07-14T21:20:32;2020-07-14T07:54:41;FRENCH
4;2020-07-14T12:38:03;2020-07-15T00:09:29;FRENCH
5;2020-07-14T22:08:21;2020-07-15T02:55:20;FRENCH
6;2020-07-14T16:00:42;2020-07-15T04:08:56;FRENCH
7;2020-07-14T17:46:02;2020-07-14T11:36:53;FRENCH
8;2020-07-14T16:42:15;2020-07-15T02:58:23;SPANISH
9;2020-07-14T15:23:24;2020-07-14T12:04:47;SPANISH
10;2020-07-14T23:35:28;2020-07-14T10:09:58;SPANISH
